SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DAY_OF_CONSOM,CONSOM_PER_DAY,BILLS,STD
0002BR,2020-01-01,2020-01-31,2513,"319,43",30,,35,
0002BR,2020-02-01,2020-02-29,2400,"305,19",28,,35,
0002BR,2020-03-01,2020-03-31,2646,"333,77",30,,35,
0002BR,2020-04-01,2020-04-30,2674,"337,00",29,,35,
0002BR,2020-05-01,2020-05-31,2651,"334,85",30,,35,
0002BR,2020-06-01,2020-06-30,2586,"326,84",29,,35,
0002BR,2020-07-01,2020-07-31,2751,"347,07",30,,35,
0002BR,2020-08-01,2020-08-31,2780,"350,62",30,,35,
0002BR,2020-09-01,2020-09-30,2660,"335,86",29,,35,
0002BR,2020-10-01,2020-10-31,2745,"346,36",30,,35,
0002BR,2020-11-01,2020-11-30,2628,"331,97",29,,35,
0002KO,2018-01-01,2018-01-31,2312,"286,36",30,,35,
0002KO,2018-02-01,2018-02-28,2086,"259,13",27,,35,
0002KO,2018-03-01,2018-03-31,2308,"285,88",30,,35,
0002KO,2018-04-01,2018-04-30,2245,"278,29",29,,35,
0002KO,2018-05-01,2018-05-31,2339,"289,61",30,,35,
0002KO,2018-06-01,2018-06-30,2278,"282,26",29,,35,
0002KO,2018-07-01,2018-07-31,2348,"290,86",30,,35,
0002KO,2018-08-01,2018-08-31,2368,"293,27",30,,35,
0002KO,2018-09-01,2018-09-30,2248,"280,57",29,,35,
0002KO,2018-10-01,2018-10-31,2300,"286,88",30,,35,
0002KO,2018-11-01,2018-11-30,2595,"322,68",29,,35,
0002KO,2018-12-01,2018-12-31,2765,"343,31",30,,35,
0002KO,2019-01-01,2019-01-31,2766,"377,48",30,,35,
0002KO,2019-02-01,2019-02-28,2500,"341,94",27,,35,
0002KO,2019-03-01,2019-03-31,2652,"362,25",30,,35,
0002KO,2019-04-01,2019-04-30,2483,"339,67",29,,35,
0002KO,2019-05-01,2019-05-31,2548,"348,35",30,,35,
0002KO,2019-06-01,2019-06-30,2514,"343,81",29,,35,
0002KO,2019-07-01,2019-07-31,2557,"349,55",30,,35,
0002KO,2019-08-01,2019-08-31,2575,"351,96",30,,35,
0002KO,2019-09-01,2019-09-30,2473,"338,33",29,,35,
0002KO,2019-10-01,2019-10-31,2550,"348,62",30,,35,
0002KO,2019-11-01,2019-11-30,2462,"336,86",29,,35,
0002KO,2019-12-01,2019-12-31,2520,"344,61",30,,35,
0002KO,2020-01-01,2020-01-31,2524,"343,21",30,,35,
0002KO,2020-02-01,2020-02-29,2437,"331,69",28,,35,
0002KO,2020-03-01,2020-03-31,2623,"356,33",30,,35,
0002KO,2020-04-01,2020-04-30,2632,"357,52",29,,35,
0002KO,2020-05-01,2020-05-31,2715,"368,52",30,,35,
0002KO,2020-06-01,2020-06-30,2655,"360,57",29,,35,
0002KO,2020-07-01,2020-07-31,2794,"378,98",30,,35,
0002KO,2020-08-01,2020-08-31,2845,"385,74",30,,35,
0002KO,2020-09-01,2020-09-30,2726,"369,97",29,,35,
0002KO,2020-10-01,2020-10-31,2797,"379,38",30,,35,
0002KO,2020-11-01,2020-11-30,2678,"363,62",29,,35,
0003BB,2018-01-01,2018-01-31,2100,"271,90",30,,35,
0003BB,2018-02-01,2018-02-28,1897,"246,46",27,,35,
0003BB,2018-03-01,2018-03-31,2103,"272,70",30,,35,
0003BB,2018-04-01,2018-04-30,2062,"267,67",29,,35,
0003BB,2018-05-01,2018-05-31,2144,"278,24",30,,35,
0003BB,2018-06-01,2018-06-30,2409,"311,78",29,,35,
0003BB,2018-07-01,2018-07-31,2675,"345,06",30,,35,
0003BB,2018-08-01,2018-08-31,2701,"348,81",30,,35,
0003BB,2018-09-01,2018-09-30,2147,"280,38",29,,35,
0003BB,2018-10-01,2018-10-31,3052,"394,40",30,,35,
0003BB,2018-11-01,2018-11-30,2527,"327,92",29,,35,
0003BB,2018-12-01,2018-12-31,2742,"354,90",30,,35,
0003BB,2019-01-01,2019-01-31,2729,"337,04",30,,35,
0003BB,2019-02-01,2019-02-28,2353,"291,99",27,,35,
0003BB,2019-03-01,2019-03-31,2587,"319,91",30,,35,
0003BB,2019-04-01,2019-04-30,2392,"296,52",29,,35,
0003BB,2019-05-01,2019-05-31,2476,"306,30",30,,35,
0003BB,2019-06-01,2019-06-30,2673,"331,24",29,,35,
0003BB,2019-07-01,2019-07-31,2849,"352,67",30,,35,
0003BB,2019-08-01,2019-08-31,2868,"354,63",30,,35,
0003BB,2019-09-01,2019-09-30,2739,"338,53",29,,35,
0003BB,2019-10-01,2019-10-31,2832,"349,45",30,,35,
0003BB,2019-11-01,2019-11-30,2700,"333,53",29,,35,
0003BB,2019-12-01,2019-12-31,2764,"341,07",30,,35,
0003BB,2020-01-01,2020-01-31,2765,"392,85",30,,35,
0003BB,2020-02-01,2020-02-29,2544,"364,42",28,,35,
0003BB,2020-03-01,2020-03-31,2671,"383,97",30,,35,
0003BB,2020-04-01,2020-04-30,2608,"373,97",29,,35,
0003BB,2020-05-01,2020-05-31,2691,"385,30",30,,35,
0003BB,2020-06-01,2020-06-30,2663,"381,63",29,,35,
0003BB,2020-07-01,2020-07-31,2789,"398,15",30,,35,
0003BB,2020-08-01,2020-08-31,2839,"404,26",30,,35,
0003BB,2020-09-01,2020-09-30,2709,"386,06",29,,35,
0003BB,2020-10-01,2020-10-31,2765,"393,20",30,,35,
0003BB,2020-11-01,2020-11-30,2642,"366,39",29,,35,
0003BR,2018-01-01,2018-01-31,2437,"266,44",30,,35,
0003BR,2018-02-01,2018-02-28,2206,"241,91",27,,35,
0003BR,2018-03-01,2018-03-31,2446,"267,32",30,,35,
0003BR,2018-04-01,2018-04-30,2423,"264,79",29,,35,
0003BR,2018-05-01,2018-05-31,2532,"276,25",30,,35,
0003BR,2018-06-01,2018-06-30,2478,"270,43",29,,35,
0003BR,2018-07-01,2018-07-31,2556,"278,84",30,,35,
0003BR,2018-08-01,2018-08-31,2598,"283,15",30,,35,
0003BR,2018-09-01,2018-09-30,2453,"269,79",29,,35,
0003BR,2018-10-01,2018-10-31,2506,"275,51",30,,35,
0003BR,2018-11-01,2018-11-30,2409,"265,07",29,,35,
0003BR,2018-12-01,2018-12-31,2455,"270,01",30,,35,
0003BR,2019-01-01,2019-01-31,2467,"264,75",30,,35,
0003BR,2019-02-01,2019-02-28,2237,"240,77",27,,35,
0003BR,2019-03-01,2019-03-31,2494,"267,47",30,,35,
0003BR,2019-04-01,2019-04-30,2426,"260,39",29,,35,
0003BR,2019-05-01,2019-05-31,2526,"270,73",30,,35,
0003BR,2019-06-01,2019-06-30,2566,"274,67",29,,35,
0003BR,2019-07-01,2019-07-31,2618,"280,06",30,,35,
0003BR,2019-08-01,2019-08-31,2615,"279,72",30,,35,
0003BR,2019-09-01,2019-09-30,2484,"266,17",29,,35,
0003BR,2019-10-01,2019-10-31,2736,"291,59",30,,35,
0003BR,2019-11-01,2019-11-30,2617,"279,31",29,,35,
0003BR,2019-12-01,2019-12-31,2660,"283,77",30,,35,
0003BR,2020-01-01,2020-01-31,2662,"338,47",30,,35,
0003BR,2020-02-01,2020-02-29,2524,"321,27",28,,35,
0003BR,2020-03-01,2020-03-31,2694,"340,71",30,,35,
0003BR,2020-04-01,2020-04-30,2704,"341,86",29,,35,
0003BR,2020-05-01,2020-05-31,2801,"353,83",30,,35,
0003BR,2020-06-01,2020-06-30,2743,"346,60",29,,35,
0003BR,2020-07-01,2020-07-31,2920,"368,35",30,,35,
0003BR,2020-08-01,2020-08-31,2872,"362,49",30,,35,
0003BR,2020-09-01,2020-09-30,2818,"355,93",29,,35,
0003BR,2020-10-01,2020-10-31,2862,"361,39",30,,35,
0003BR,2020-11-01,2020-11-30,2739,"346,21",29,,35,
0003KO,2018-01-01,2018-03-31,6293,"985,04",89,,11,
0003KO,2018-04-01,2018-06-30,7082,"1 118,25",90,,11,
0003KO,2018-07-01,2018-09-30,6740,"1 066,96",91,,11,
0003KO,2018-10-01,2018-12-31,8423,"1 331,26",91,,11,
0003KO,2019-01-01,2019-03-31,7883,"1 373,30",89,,11,
0003KO,2019-04-01,2019-06-30,7024,"1 229,28",90,,11,
0003KO,2019-07-01,2019-09-30,7143,"1 251,45",91,,11,
0003KO,2019-10-01,2019-12-31,7707,"1 345,33",91,,11,
0003KO,2020-01-01,2020-03-31,6561,"1 058,29",90,,11,
0003KO,2020-04-01,2020-06-30,7511,"1 220,24",90,,11,
0003KO,2020-07-01,2020-09-30,7823,"1 270,14",91,,11,
0004BB,2018-01-01,2018-01-31,14414,"1 369,33",30,,36,
0004BB,2018-02-01,2018-02-28,12328,"1 171,16",27,,36,
0004BB,2018-03-01,2018-03-31,12849,"1 220,66",30,,36,
0004BB,2018-04-01,2018-04-30,14535,"1 380,83",29,,36,
0004BB,2018-05-01,2018-05-31,14547,"1 381,97",30,,36,
0004BB,2018-06-01,2018-06-30,14379,"1 366,01",29,,36,
0004BB,2018-07-01,2018-07-31,15907,"1 511,17",30,,36,
0004BB,2018-08-01,2018-08-31,15701,"1 491,60",30,,36,
0004BB,2018-09-01,2018-09-30,15544,"1 476,68",29,,36,
0004BB,2018-10-01,2018-10-31,14691,"1 395,65",30,,36,
0004BB,2018-11-01,2018-11-30,14728,"1 399,16",29,,36,
0004BB,2018-12-01,2018-12-31,15174,"1 441,53",30,,36,
0004BB,2019-01-01,2019-01-31,9410,"1 246,83",30,,36,
0004BB,2019-01-01,2019-01-31,15297,"2 026,85",30,,36,
0004BB,2019-02-01,2019-02-28,13756,"1 822,67",27,,36,
0004BB,2019-03-01,2019-03-31,15810,"2 094,83",30,,36,
0004BB,2019-04-01,2019-04-30,14090,"1 866,93",29,,36,
0004BB,2019-05-01,2019-05-31,14081,"1 865,73",30,,36,
0004BB,2019-06-01,2019-06-30,17034,"2 257,01",29,,36,
0004BB,2019-07-01,2019-07-31,14906,"1 975,05",30,,36,
0004BB,2019-08-01,2019-08-31,14638,"1 939,54",30,,36,
0004BB,2019-09-01,2019-09-30,11200,"1 484,00",29,,36,
0004BB,2019-10-01,2019-10-31,12068,"1 599,01",30,,36,
0004BB,2019-11-01,2019-11-30,11184,"1 481,88",29,,36,
0004BB,2019-12-01,2019-12-31,9904,"1 312,28",30,,36,
0004BB,2020-01-01,2020-01-31,9410,"1 246,83",30,,36,
0004BB,2020-02-01,2020-02-29,9465,"1 254,11",28,,36,
0004BB,2020-03-01,2020-03-31,8849,"1 172,49",30,,36,
0004BB,2020-04-01,2020-04-30,9214,"1 220,86",29,,36,
0004BB,2020-05-01,2020-05-31,9883,"1 309,50",30,,36,
0004BB,2020-06-01,2020-06-30,9050,"1 199,13",29,,36,
0004BB,2020-07-01,2020-07-31,9809,"1 299,69",30,,36,
0004BB,2020-08-01,2020-08-31,9962,"1 319,97",30,,36,
0004BB,2020-09-01,2020-09-30,9092,"1 204,69",29,,36,
0004BB,2020-10-01,2020-10-31,8640,"1 144,80",30,,36,
0004BB,2020-11-01,2020-11-30,8720,"1 155,40",29,,36,
0004BR,2018-01-01,2018-01-31,2276,"244,43",30,,35,
0004BR,2018-02-01,2018-02-28,2057,"221,74",27,,35,
0004BR,2018-03-01,2018-03-31,2284,"245,26",30,,35,
0004BR,2018-04-01,2018-04-30,2253,"242,04",29,,35,
0004BR,2018-05-01,2018-05-31,2345,"251,58",30,,35,
0004BR,2018-06-01,2018-06-30,2297,"252,33",29,,35,
0004BR,2018-07-01,2018-07-31,2389,"262,18",30,,35,
0004BR,2018-08-01,2018-08-31,2414,"264,73",30,,35,
0004BR,2018-09-01,2018-09-30,2292,"253,64",29,,35,
0004BR,2018-10-01,2018-10-31,2355,"260,41",30,,35,
0004BR,2018-11-01,2018-11-30,2256,"249,82",29,,35,
0004BR,2018-12-01,2018-12-31,2310,"255,61",30,,35,
0004BR,2019-01-01,2019-01-31,2313,"249,80",30,,35,
0004BR,2019-02-01,2019-02-28,2098,"227,38",27,,35,
0004BR,2019-03-01,2019-03-31,2326,"251,13",30,,35,
0004BR,2019-04-01,2019-04-30,2264,"244,61",29,,35,
0004BR,2019-05-01,2019-05-31,2353,"253,85",30,,35,
0004BR,2019-06-01,2019-06-30,2347,"253,04",29,,35,
0004BR,2019-07-01,2019-07-31,2402,"258,77",30,,35,
0004BR,2019-08-01,2019-08-31,2403,"258,84",30,,35,
0004BR,2019-09-01,2019-09-30,2280,"246,13",29,,35,
0004BR,2019-10-01,2019-10-31,2610,"279,47",30,,35,
0004BR,2019-11-01,2019-11-30,2522,"270,28",29,,35,
0004BR,2019-12-01,2019-12-31,2588,"277,13",30,,35,
0004BR,2020-01-01,2020-01-31,2599,"331,44",30,,35,
0004BR,2020-02-01,2020-02-29,2454,"313,42",28,,35,
0004BR,2020-03-01,2020-03-31,2603,"330,33",30,,35,
0004BR,2020-04-01,2020-04-30,2616,"331,85",29,,35,
0004BR,2020-05-01,2020-05-31,2693,"341,35",30,,35,
0004BR,2020-06-01,2020-06-30,2622,"332,51",29,,35,
0004BR,2020-07-01,2020-07-31,2764,"349,96",30,,35,
0004BR,2020-08-01,2020-08-31,2804,"354,84",30,,35,
0004BR,2020-09-01,2020-09-30,2700,"342,00",29,,35,
0004BR,2020-10-01,2020-10-31,2760,"349,45",30,,35,
0004BR,2020-11-01,2020-11-30,2647,"326,93",29,,35,
0004KO,2018-01-01,2018-01-31,2206,"275,39",30,,35,
0004KO,2018-02-01,2018-02-28,1996,"250,09",27,,35,
0004KO,2018-03-01,2018-03-31,2208,"275,63",30,,35,
0004KO,2018-04-01,2018-04-30,2146,"268,16",29,,35,
0004KO,2018-05-01,2018-05-31,2261,"282,01",30,,35,
0004KO,2018-06-01,2018-06-30,2194,"273,94",29,,35,
0004KO,2018-07-01,2018-07-31,2293,"286,03",30,,35,
0004KO,2018-08-01,2018-08-31,2325,"289,89",30,,35,
0004KO,2018-09-01,2018-09-30,2213,"278,13",29,,35,
0004KO,2018-10-01,2018-10-31,2693,"336,37",30,,35,
0004KO,2018-11-01,2018-11-30,2597,"324,72",29,,35,
0004KO,2018-12-01,2018-12-31,2679,"334,67",30,,35,
0004KO,2019-01-01,2019-01-31,2678,"367,54",30,,35,
0004KO,2019-02-01,2019-02-28,2416,"332,53",27,,35,
0004KO,2019-03-01,2019-03-31,2672,"366,74",30,,35,
0004KO,2019-04-01,2019-04-30,2386,"328,53",29,,35,
0004KO,2019-05-01,2019-05-31,2457,"338,01",30,,35,
0004KO,2019-06-01,2019-06-30,2463,"338,81",29,,35,
0004KO,2019-07-01,2019-07-31,2542,"349,37",30,,35,
0004KO,2019-08-01,2019-08-31,2528,"347,50",30,,35,
0004KO,2019-09-01,2019-09-30,2390,"329,06",29,,35,
0004KO,2019-10-01,2019-10-31,2461,"338,55",30,,35,
0004KO,2019-11-01,2019-11-30,2376,"327,19",29,,35,
0004KO,2019-12-01,2019-12-31,2435,"335,07",30,,35,
0004KO,2020-01-01,2020-01-31,2444,"334,66",30,,35,
0004KO,2020-02-01,2020-02-29,2354,"322,73",28,,35,
0004KO,2020-03-01,2020-03-31,2556,"349,49",30,,35,
0004KO,2020-04-01,2020-04-30,2569,"351,22",29,,35,
0004KO,2020-05-01,2020-05-31,2656,"362,74",30,,35,
0004KO,2020-06-01,2020-06-30,2615,"357,31",29,,35,
0004KO,2020-07-01,2020-07-31,2796,"381,29",30,,35,
0004KO,2020-08-01,2020-08-31,2878,"392,15",30,,35,
0004KO,2020-09-01,2020-09-30,2728,"372,28",29,,35,
0004KO,2020-10-01,2020-10-31,2785,"379,83",30,,35,
0004KO,2020-11-01,2020-11-30,2668,"353,44",29,,35,
0005KO,2018-01-01,2018-06-30,14134,"1 921,96",180,,20,
0005KO,2018-07-01,2018-12-31,16400,"2 239,81",183,,20,
0005KO,2019-01-01,2019-06-30,18832,"2 470,29",180,,20,
0005KO,2019-07-01,2019-07-31,3412,"442,33",30,,20,
0005KO,2019-08-01,2019-08-31,2804,"368,51",30,,20,
0005KO,2019-09-01,2019-09-30,2683,"353,82",29,,20,
0005KO,2019-10-01,2019-10-31,2758,"362,93",30,,20,
0005KO,2019-11-01,2019-11-30,2654,"350,26",29,,20,
0005KO,2019-12-01,2019-12-31,2719,"358,19",30,,20,
0005KO,2020-01-01,2020-01-31,2732,"354,04",30,,20,
0005KO,2020-02-01,2020-02-29,2623,"341,03",28,,20,
0005KO,2020-03-01,2020-03-31,2776,"362,25",30,,20,
0005KO,2020-04-01,2020-04-30,2811,"366,46",29,,20,
0005KO,2020-05-01,2020-05-31,2936,"381,51",30,,20,
0005KO,2020-06-01,2020-06-30,2906,"377,89",29,,20,
0005KO,2020-07-01,2020-07-31,3058,"396,19",30,,20,
0005KO,2020-08-01,2020-08-31,3120,"403,65",30,,20,
0005KO,2020-09-01,2020-09-30,3017,"391,26",29,,20,
0005KO,2020-10-01,2020-10-31,3058,"396,19",30,,20,
0005KO,2020-11-01,2020-11-30,2913,"378,74",29,,20,
